First Name,Last Name,Twitter Handle,St/Dis,Party
Alma,Adams,@RepAdams,NC12,D
Robert,Aderholt,@Robert_Aderholt,AL04,R
Pete,Aguilar,@RepPeteAguilar,CA31,D
Rick,Allen,@RepRickAllen,GA12,R
Colin,Allred,@RepColinAllred,TX32,D
Mark,Amodei,@MarkAmodeiNV2,NV02,R
Kelly,Armstrong,@RepArmstrongND,ND00,R
Jodey,Arrington,@RepArrington,TX19,R
Jake,Auchincloss,@RepAuchincloss,MA04,D
Cynthia,Axne,@RepCindyAxne,IA03,D
Brian,Babin,@RepBrianBabin,TX36,R
Don,Bacon,@RepDonBacon,NE02,R
James,Baird,@RepJimBaird,IN04,R
Troy,Balderson,@RepBalderson,OH12,R
Jim,Banks,@RepJimBanks,IN03,R
Andy,Barr,@RepAndyBarr,KY06,R
Nanette,Barragán,@RepBarragan,CA44,D
Karen,Bass,@RepKarenBass,CA37,D
Joyce,Beatty,@RepBeatty,OH03,D
Cliff,Bentz,@RepBentz,OR02,R
Ami,Bera,@RepBera,CA07,D
Jack,Bergman,@RepJackBergman,MI01,R
Donald,Beyer,@RepDonBeyer,VA08,D
Stephanie,Bice,@RepBice,OK05,R
Andy,Biggs,@RepAndyBiggsAZ,AZ05,R
Gus,Bilirakis,@RepGusBilirakis,FL12,R
Dan,Bishop,@RepDanBishop,NC09,R
Sanford,Bishop,@SanfordBishop,GA02,D
Earl,Blumenauer,@repblumenauer,OR03,D
Lisa,Blunt Rochester,@RepLBR,DE00,D
Lauren,Boebert,@RepBoebert,CO03,R
Suzanne,Bonamici,@RepBonamici,OR01,D
Mike,Bost,@RepBost,IL12,R
Carolyn,Bourdeaux,@RepBourdeaux,GA07,D
Jamaal,Bowman,@RepBowman,NY16,D
Brendan,Boyle,@CongBoyle,PA02,D
Kevin,Brady,@RepKevinBrady,TX08,R
Mo,Brooks,@RepMoBrooks,AL05,R
Anthony,Brown,@RepAnthonyBrown,MD04,D
Shontel,Brown,@RepShontelBrown,OH11,D
Julia,Brownley,@RepBrownley,CA26,D
Vern,Buchanan,@VernBuchanan,FL16,R
Ken,Buck,@RepKenBuck,CO04,R
Larry,Bucshon,@RepLarryBucshon,IN08,R
Ted,Budd,@RepTedBudd,NC13,R
Tim,Burchett,@RepTimBurchett,TN02,R
Michael,Burgess,@michaelcburgess,TX26,R
Cori,Bush,@RepCori,MO01,D
Cheri,Bustos,@RepCheri,IL17,D
G.,Butterfield,@GKButterfield,NC01,D
Ken,Calvert,@KenCalvert,CA42,R
Kat,Cammack,@RepKatCammack,FL03,R
Salud,Carbajal,@RepCarbajal,CA24,D
Tony,Cárdenas,@RepCardenas,CA29,D
Mike,Carey,@RepMikeCarey,OH15,R
Jerry,Carl,@RepJerryCarl,AL01,R
André,Carson,@RepAndreCarson,IN07,D
Buddy,Carter,@RepBuddyCarter,GA01,R
John,Carter,@JudgeCarter,TX31,R
Troy,Carter,@RepTroyCarter,LA02,D
Matt,Cartwright,@RepCartwright,PA08,D
Ed,Case,@RepEdCase,HI01,D
Sean,Casten,@RepCasten,IL06,D
Kathy,Castor,@USRepKCastor,FL14,D
Joaquin,Castro,@JoaquinCastrotx,TX20,D
Madison,Cawthorn,@RepCawthorn,NC11,R
Steve,Chabot,@RepSteveChabot,OH01,R
Liz,Cheney,@RepLizCheney,WY00,R
Sheila,Cherfilus-McCormick,@CongresswomanSC,FL20,D
Judy,Chu,@RepJudyChu,CA27,D
David,Cicilline,@davidcicilline,RI01,D
,,@RepCicilline,RI01,D
Katherine,Clark,@RepKClark,MA05,D
Yvette,Clarke,@RepYvetteClarke,NY09,D
Emanuel,Cleaver,@repcleaver,MO05,D
Ben,Cline,@RepBenCline,VA06,R
Michael,Cloud,@RepCloudTX,TX27,R
James,Clyburn,@WhipClyburn,SC06,D
Andrew,Clyde,@Rep_Clyde,GA09,R
Steve,Cohen,@RepCohen,TN09,D
Tom,Cole,@TomColeOK04,OK04,R
James,Comer,@RepJamesComer,KY01,R
Gerald,Connolly,@GerryConnolly,VA11,D
Jim,Cooper,@repjimcooper,TN05,D
Lou,Correa,@RepLouCorrea,CA46,D
Jim,Costa,@RepJimCosta,CA16,D
Joe,Courtney,@RepJoeCourtney,CT02,D
Angie,Craig,@RepAngieCraig,MN02,D
Ric,Crawford,@RepRickCrawford,AR01,R
Dan,Crenshaw,@RepDanCrenshaw,TX02,R
Charlie,Crist,@RepCharlieCrist,FL13,D
Jason,Crow,@RepJasonCrow,CO06,D
Henry,Cuellar,@RepCuellar,TX28,D
John,Curtis,@RepJohnCurtis,UT03,R
Sharice,Davids,@RepDavids,KS03,D
Warren,Davidson,@WarrenDavidson,OH08,R
Danny,Davis,@RepDannyDavis,IL07,D
Rodney,Davis,@RodneyDavis,IL13,R
Madeleine,Dean,@RepDean,PA04,D
Peter,DeFazio,@RepPeterDeFazio,OR04,D
Diana,DeGette,@RepDianaDeGette,CO01,D
Rosa,DeLauro,@rosadelauro,CT03,D
Suzan,DelBene,@RepDelBene,WA01,D
Antonio,Delgado,@repdelgado,NY19,D
Val,Demings,@RepValDemings,FL10,D
Mark,DeSaulnier,@RepDeSaulnier,CA11,D
Scott,DesJarlais,@DesJarlaisTN04,TN04,R
Theodore,Deutch,@RepTedDeutch,FL22,D
Mario,Diaz-Balart,@MarioDB,FL25,R
Debbie,Dingell,@RepDebDingell,MI12,D
Lloyd,Doggett,@RepLloydDoggett,TX35,D
Byron,Donalds,@RepDonaldsPress,FL19,R
Michael,Doyle,@USRepMikeDoyle,PA18,D
Jeff,Duncan,@RepJeffDuncan,SC03,R
Neal,Dunn,@DrNealDunnFL2,FL02,R
Jake,Ellzey,@RepEllzey,TX06,R
Tom,Emmer,@RepTomEmmer,MN06,R
Veronica,Escobar,@RepEscobar,TX16,D
Anna,Eshoo,@RepAnnaEshoo,CA18,D
Adriano,Espaillat,@RepEspaillat,NY13,D
Ron,Estes,@RepRonEstes,KS04,R
Dwight,Evans,@RepDwightEvans,PA03,D
Pat,Fallon,@RepPatFallon,TX04,R
Randy,Feenstra,@RepFeenstra,IA04,R
Drew,Ferguson,@RepDrewFerguson,GA03,R
Michelle,Fischbach,@RepFischbach,MN07,R
Scott,Fitzgerald,@RepFitzgerald,WI05,R
Brian,Fitzpatrick,@RepBrianFitz,PA01,R
Chuck,Fleischmann,@RepChuck,TN03,R
Lizzie,Fletcher,@RepFletcher,TX07,D
Jeff,Fortenberry,@JeffFortenberry,NE01,R
Bill,Foster,@RepBillFoster,IL11,D
Virginia,Foxx,@virginiafoxx,NC05,R
Lois,Frankel,@RepLoisFrankel,FL21,D
Scott,Franklin,@RepFranklin,FL15,R
Russ,Fulcher,@RepRussFulcher,ID01,R
Matt,Gaetz,@RepMattGaetz,FL01,R
Mike,Gallagher,@RepGallagher,WI08,R
Ruben,Gallego,@RepRubenGallego,AZ07,D
John,Garamendi,@RepGaramendi,CA03,D
Andrew,Garbarino,@RepGarbarino,NY02,R
Mike,Garcia,@RepMikeGarcia,CA25,R
Sylvia,Garcia,@RepSylviaGarcia,TX29,D
Chuy,García,@RepChuyGarcia,IL04,D
Bob,Gibbs,@RepBobGibbs,OH07,R
Carlos,Gimenez,@RepCarlos,FL26,R
Louie,Gohmert,@replouiegohmert,TX01,R
Jared,Golden,@RepGolden,ME02,D
Jimmy,Gomez,@RepJimmyGomez,CA34,D
Tony,Gonzales,@RepTonyGonzales,TX23,R
Anthony,Gonzalez,@RepAGonzalez,OH16,R
Vicente,Gonzalez,@RepGonzalez,TX15,D
Jenniffer,González-Colón,@RepJenniffer,PR00,R
Bob,Good,@RepBobGood,VA05,R
Lance,Gooden,No official,TX05,R
Paul,Gosar,@RepGosar,AZ04,R
Josh,Gottheimer,@RepJoshG,NJ05,D
Kay,Granger,@RepKayGranger,TX12,R
Garret,Graves,@RepGarretGraves,LA06,R
Sam,Graves,@RepSamGraves,MO06,R
Al,Green,@RepAlGreen,TX09,D
Mark,Green,@RepMarkGreen,TN07,R
Marjorie,Greene,@RepMTG,GA14,R
Morgan,Griffith,@RepMGriffith,VA09,R
Raúl,Grijalva,@RepRaulGrijalva,AZ03,D
Glenn,Grothman,@RepGrothman,WI06,R
Michael,Guest,@RepMichaelGuest,MS03,R
Brett,Guthrie,@RepGuthrie,KY02,R
Jim,Hagedorn,@RepHagedorn,MN01,R
Josh,Harder,@RepJoshHarder,CA10,D
Andy,Harris,@RepAndyHarrisMD,MD01,R
Diana,Harshbarger,@RepHarshbarger,TN01,R
Vicky,Hartzler,@RepHartzler,MO04,R
Jahana,Hayes,@RepJahanaHayes,CT05,D
Kevin,Hern,@repkevinhern,OK01,R
Yvette,Herrell,@RepHerrell,NM02,R
Jaime,Herrera Beutler,@HerreraBeutler,WA03,R
Jody,Hice,@CongressmanHice,GA10,R
Brian,Higgins,@RepBrianHiggins,NY26,D
Clay,Higgins,@RepClayHiggins,LA03,R
French,Hill,@RepFrenchHill,AR02,R
James,Himes,No official,CT04,D
Ashley,Hinson,@RepAshleyHinson,IA01,R
Trey,Hollingsworth,@RepTrey,IN09,R
Steven,Horsford,@RepHorsford,NV04,D
Chrissy,Houlahan,@RepHoulahan,PA06,D
Steny,Hoyer,@LeaderHoyer,MD05,D
Richard,Hudson,@RepRichHudson,NC08,R
Jared,Huffman,@RepHuffman,CA02,D
Bill,Huizenga,@RepHuizenga,MI02,R
Darrell,Issa,@repdarrellissa,CA50,R
Ronny,Jackson,@RepRonnyJackson,TX13,R
Sheila,Jackson Lee,@JacksonLeeTX18,TX18,D
Chris,Jacobs,@RepJacobs,NY27,R
Sara,Jacobs,@RepSaraJacobs,CA53,D
Pramila,Jayapal,@RepJayapal,WA07,D
Hakeem,Jeffries,@RepJeffries,NY08,D
Bill,Johnson,@RepBillJohnson,OH06,R
Dusty,Johnson,@RepDustyJohnson,SD00,R
Eddie,Johnson,@RepEBJ,TX30,D
Hank,Johnson,@RepHankJohnson,GA04,D
Mike,Johnson,@RepMikeJohnson,LA04,R
Mondaire,Jones,@RepMondaire,NY17,D
Jim,Jordan,@Jim_Jordan,OH04,R
David,Joyce,@RepDaveJoyce,OH14,R
John,Joyce,@RepJohnJoyce,PA13,R
Kaiali'i,Kahele,@RepKahele,HI02,D
Marcy,Kaptur,@RepMarcyKaptur,OH09,D
John,Katko,@RepJohnKatko,NY24,R
Bill,Keating,@USRepKeating,MA09,D
Fred,Keller,@RepFredKeller,PA12,R
Mike,Kelly,@MikeKellyPA,PA16,R
Robin,Kelly,@RepRobinKelly,IL02,D
Trent,Kelly,@RepTrentKelly,MS01,R
Ro,Khanna,@RepRoKhanna,CA17,D
Dan,Kildee,@RepDanKildee,MI05,D
Derek,Kilmer,@RepDerekKilmer,WA06,D
Andy,Kim,@RepAndyKimNJ,NJ03,D
Young,Kim,@RepYoungKim,CA39,R
Ron,Kind,@RepRonKind,WI03,D
Adam,Kinzinger,@RepKinzinger,IL16,R
Ann,Kirkpatrick,@RepKirkpatrick,AZ02,D
Raja,Krishnamoorthi,@CongressmanRaja,IL08,D
Ann,Kuster,@RepAnnieKuster,NH02,D
David,Kustoff,@RepDavidKustoff,TN08,R
Darin,LaHood,@RepLaHood,IL18,R
Doug,LaMalfa,@RepLaMalfa,CA01,R
Conor,Lamb,@RepConorLamb,PA17,D
Doug,Lamborn,@RepDLamborn,CO05,R
James,Langevin,@JimLangevin,RI02,D
Rick,Larsen,@RepRickLarsen,WA02,D
John,Larson,@RepJohnLarson,CT01,D
Bob,Latta,@boblatta,OH05,R
Jake,LaTurner,@RepLaTurner,KS02,R
Brenda,Lawrence,@RepLawrence,MI14,D
Al,Lawson,@RepAlLawsonJr,FL05,D
Barbara,Lee,@RepBarbaraLee,CA13,D
Susie,Lee,@RepSusieLee,NV03,D
Teresa,Leger Fernandez,@RepTeresaLF,NM03,D
Debbie,Lesko,@RepDLesko,AZ08,R
Julia,Letlow,@repjulialetlow,LA05,R
Andy,Levin,@RepAndyLevin,MI09,D
Mike,Levin,@RepMikeLevin,CA49,D
Ted,Lieu,@RepTedLieu,CA33,D
Zoe,Lofgren,@RepZoeLofgren,CA19,D
Billy,Long,@USRepLong,MO07,R
Barry,Loudermilk,@RepLoudermilk,GA11,R
Alan,Lowenthal,@RepLowenthal,CA47,D
Frank,Lucas,@RepFrankLucas,OK03,R
Blaine,Luetkemeyer,@RepBlaine,MO03,R
Elaine,Luria,@RepElaineLuria,VA02,D
Stephen,Lynch,@RepStephenLynch,MA08,D
Nancy,Mace,@RepNancyMace,SC01,R
Tom,Malinowski,@RepMalinowski,NJ07,D
Nicole,Malliotakis,@RepMalliotakis,NY11,R
Carolyn,Maloney,@RepMaloney,NY12,D
Sean,Maloney,@RepSeanMaloney,NY18,D
Tracey,Mann,@RepMann,KS01,R
Kathy,Manning,@RepKManning,NC06,D
Thomas,Massie,@RepThomasMassie,KY04,R
Brian,Mast,@RepBrianMast,FL18,R
Doris,Matsui,@DorisMatsui,CA06,D
Lucy,McBath,@RepLucyMcBath,GA06,D
Kevin,McCarthy,@GOPLeader,CA23,R
Michael,McCaul,@RepMcCaul,TX10,R
Lisa,McClain,@RepLisaMcClain,MI10,R
Tom,McClintock,@RepMcClintock,CA04,R
Betty,McCollum,@BettyMcCollum04,MN04,D
A.,McEachin,@RepMcEachin,VA04,D
James,McGovern,@RepMcGovern,MA02,D
Patrick,McHenry,@PatrickMcHenry,NC10,R
David,McKinley,@RepMcKinley,WV01,R
Jerry,McNerney,@RepMcNerney,CA09,D
Gregory,Meeks,@RepGregoryMeeks,NY05,D
Peter,Meijer,@RepMeijer,MI03,R
Grace,Meng,@RepGraceMeng,NY06,D
Daniel,Meuser,@RepMeuser,PA09,R
Kweisi,Mfume,@RepKweisiMfume,MD07,D
Carol,Miller,@RepCarolMiller,WV03,R
Mary,Miller,@RepMaryMiller,IL15,R
Mariannette,Miller-Meeks,@RepMMM,IA02,R
John,Moolenaar,@RepMoolenaar,MI04,R
Alexander,Mooney,@RepAlexMooney,WV02,R
Barry,Moore,@RepBarryMoore,AL02,R
Blake,Moore,@RepBlakeMoore,UT01,R
Gwen,Moore,@RepGwenMoore,WI04,D
Joe,Morelle,@RepJoeMorelle,NY25,D
Seth,Moulton,@sethmoulton,MA06,D
Frank,Mrvan,@RepMrvan,IN01,D
Markwayne,Mullin,@RepMullin,OK02,R
Gregory,Murphy,@RepGregMurphy,NC03,R
Stephanie,Murphy,@RepStephMurphy,FL07,D
Jerrold,Nadler,@RepJerryNadler,NY10,D
Grace,Napolitano,@gracenapolitano,CA32,D
Richard,Neal,@RepRichardNeal,MA01,D
Joe,Neguse,@RepJoeNeguse,CO02,D
Troy,Nehls,@RepTroyNehls,TX22,R
Dan,Newhouse,@RepNewhouse,WA04,R
Marie,Newman,@RepMarieNewman,IL03,D
Donald,Norcross,@DonaldNorcross,NJ01,D
Ralph,Norman,@RepRalphNorman,SC05,R
Eleanor,Norton,@EleanorNorton,DC00,D
Devin,Nunes,@RepDevinNunes,CA22,R
Jay,Obernolte,@JayObernolte,CA08,R
Alexandria,Ocasio-Cortez,@RepAOC,NY14,D
Tom,O'Halleran,@RepOHalleran,AZ01,D
Ilhan,Omar,@Ilhan,MN05,D
Burgess,Owens,@RepBurgessOwens,UT04,R
Steven,Palazzo,@CongPalazzo,MS04,R
Frank,Pallone,@FrankPallone,NJ06,D
Gary,Palmer,@USRepGaryPalmer,AL06,R
Jimmy,Panetta,@RepJimmyPanetta,CA20,D
Chris,Pappas,@RepChrisPappas,NH01,D
Bill,Pascrell,@BillPascrell,NJ09,D
Donald,Payne,@RepDonaldPayne,NJ10,D
Nancy,Pelosi,@SpeakerPelosi,CA12,D
Greg,Pence,@RepGregPence,IN06,R
Ed,Perlmutter,@RepPerlmutter,CO07,D
Scott,Perry,@RepScottPerry,PA10,R
Scott,Peters,@RepScottPeters,CA52,D
August,Pfluger,@RepPfluger,TX11,R
Dean,Phillips,@RepDeanPhillips,MN03,D
Chellie,Pingree,@chelliepingree,ME01,D
Stacey,Plaskett,@StaceyPlaskett,VI00,D
Mark,Pocan,@repmarkpocan,WI02,D
Katie,Porter,@RepKatiePorter,CA45,D
Bill,Posey,@congbillposey,FL08,R
Ayanna,Pressley,@RepPressley,MA07,D
David,Price,@RepDavidEPrice,NC04,D
Mike,Quigley,@RepMikeQuigley,IL05,D
Aumua Amata,Radewagen,@RepAmata,AS00,R
Jamie,Raskin,@RepRaskin,MD08,D
Tom,Reed,@TomReedNY23,NY23,R
Guy,Reschenthaler,@GReschenthaler,PA14,R
Kathleen,Rice,@RepKathleenRice,NY04,D
Tom,Rice,@RepTomRice,SC07,R
Cathy,Rodgers,@cathymcmorris,WA05,R
Hal,Rogers,@RepHalRogers,KY05,R
Mike,Rogers,@RepMikeRogersAL,AL03,R
John,Rose,@RepJohnRose,TN06,R
Matthew,Rosendale,@RepRosendale,MT00,R
Deborah,Ross,@RepDeborahRoss,NC02,D
David,Rouzer,@RepDavidRouzer,NC07,R
Chip,Roy,@RepChipRoy,TX21,R
Lucille,Roybal-Allard,@RepRoybalAllard,CA40,D
Raul,Ruiz,@RepRaulRuizMD,CA36,D
Dutch,Ruppersberger,@Call_Me_Dutch,MD02,D
Bobby,Rush,@RepBobbyRush,IL01,D
